Area;ISO 3 code;Year;Area type;Continent;Ember region;EU;OECD;G20;G7;ASEAN;Category;Subcategory;Variable;Unit;Value;YoY absolute change;YoY % change
Denmark;DNK;2001;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Hydro, Bioenergy and Other Renewables;TWh;1,54;0,21;15,79
Denmark;DNK;2001;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Renewables;TWh;5,85;0,28;5,03
Denmark;DNK;2001;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Wind and Solar;TWh;4,31;0,07;1,65
Denmark;DNK;2001;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Bioenergy;%;4,02;;
Denmark;DNK;2001;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Coal;%;47,47;;
Denmark;DNK;2001;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Gas;%;24,69;;
Denmark;DNK;2001;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Hydro;%;0,08;;
Denmark;DNK;2001;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Nuclear;%;0;;
Denmark;DNK;2001;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Other Fossil;%;12,25;;
Denmark;DNK;2001;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Other Renewables;%;0;;
Denmark;DNK;2001;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Solar;%;0;;
Denmark;DNK;2001;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Wind;%;11,48;;
Denmark;DNK;2001;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Bioenergy;TWh;1,51;0,21;16,15
Denmark;DNK;2001;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Coal;TWh;17,82;1,15;6,9
Denmark;DNK;2001;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Gas;TWh;9,27;0,5;5,7
Denmark;DNK;2001;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Hydro;TWh;0,03;0;0
Denmark;DNK;2001;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Nuclear;TWh;0;0;
Denmark;DNK;2001;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Other Fossil;TWh;4,6;-0,24;-4,96
Denmark;DNK;2001;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Other Renewables;TWh;0;0;
Denmark;DNK;2001;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Solar;TWh;0;0;
Denmark;DNK;2001;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Wind;TWh;4,31;0,07;1,65
Denmark;DNK;2001;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Total;Total Generation;TWh;37,54;1,69;4,71
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Clean;%;17,37;;
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Fossil;%;82,64;;
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Gas and Other Fossil;%;35,94;;
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Hydro, Bioenergy and Other Renewables;%;4,89;;
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Renewables;%;17,37;;
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Wind and Solar;%;12,48;;
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Clean;TWh;6,79;0,94;16,07
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Fossil;TWh;32,31;0,62;1,96
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Gas and Other Fossil;TWh;14,05;0,18;1,3
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Hydro, Bioenergy and Other Renewables;TWh;1,91;0,37;24,03
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Renewables;TWh;6,79;0,94;16,07
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Wind and Solar;TWh;4,88;0,57;13,23
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Bioenergy;%;4,81;;
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Coal;%;46,7;;
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Gas;%;24,53;;
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Hydro;%;0,08;;
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Nuclear;%;0;;
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Other Fossil;%;11,41;;
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Other Renewables;%;0;;
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Solar;%;0;;
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Wind;%;12,48;;
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Bioenergy;TWh;1,88;0,37;24,5
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Coal;TWh;18,26;0,44;2,47
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Gas;TWh;9,59;0,32;3,45
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Hydro;TWh;0,03;0;0
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Nuclear;TWh;0;0;
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Other Fossil;TWh;4,46;-0,14;-3,04
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Other Renewables;TWh;0;0;
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Solar;TWh;0;0;
