gauge_id,country,region,dominant_share,second_region,second_share,foen_coverage,cross_region,assign_method
2203,CH,Alps North,1.0,Alps West,0.0,1.0,no,overlay
2205,CH,Alps North,0.5,Plateau,0.381,0.993,yes,overlay
2206,CH,Alps South,1.0,,0.0,1.0,no,overlay
2207,CH,Alps North,0.903,Alps East,0.078,1.0,no,overlay
2208,CH,Alps North,0.47,Plateau,0.351,0.986,yes,overlay
2209,CH,Alps North,0.816,Plateau,0.184,1.0,no,overlay
2210,CH,Jura,0.306,,0.0,0.306,yes,overlay
2215,CH,Alps North,0.644,Plateau,0.356,1.0,yes,overlay
2217,CH,Alps West,0.449,Plateau,0.107,0.668,yes,overlay
2219,CH,Alps North,1.0,Alps West,0.0,1.0,no,overlay
2232,CH,Alps North,1.0,,0.0,1.0,no,overlay
2239,CH,Alps East,0.0,,0.0,0.0,no,nearest
2243,CH,Alps North,0.726,Plateau,0.274,1.0,yes,overlay
2244,CH,Alps South,1.0,Alps West,0.0,1.0,no,overlay
2247,CH,Jura,0.0,,0.0,0.0,no,nearest
2251,CH,Alps North,1.0,,0.0,1.0,no,overlay
2252,CH,Alps North,1.0,,0.0,1.0,no,overlay
2256,CH,Alps East,1.0,,0.0,1.0,no,overlay
2262,CH,Alps East,1.0,Alps South,0.0,1.0,no,overlay
2263,CH,Alps East,1.0,,0.0,1.0,no,overlay
2265,CH,Alps East,0.843,Alps South,0.0,0.843,no,overlay
2268,CH,Alps West,1.0,Alps East,0.0,1.0,no,overlay
2269,CH,Alps West,1.0,Alps North,0.0,1.0,no,overlay
2270,CH,Jura,0.0,,0.0,0.0,no,nearest
2276,CH,Alps North,1.0,,0.0,1.0,no,overlay
2282,CH,Alps North,1.0,,0.0,1.0,no,overlay
2283,CH,Alps North,1.0,,0.0,1.0,no,overlay
2288,CH,Alps East,0.376,Plateau,0.073,0.478,yes,overlay
2289,CH,Plateau,0.28,Alps North,0.275,0.775,yes,overlay
2290,CH,Jura,0.941,,0.0,0.941,no,overlay
2299,CH,Alps North,1.0,,0.0,1.0,no,overlay
2300,CH,Alps North,1.0,,0.0,1.0,no,overlay
2303,CH,Alps North,0.954,Plateau,0.046,1.0,no,overlay
2304,CH,Alps East,1.0,,0.0,1.0,no,overlay
2305,CH,Alps North,1.0,Plateau,0.0,1.0,no,overlay
2307,CH,Jura,1.0,,0.0,1.0,no,overlay
2308,CH,Plateau,1.0,Alps North,0.0,1.0,no,overlay
2309,CH,Plateau,1.0,,0.0,1.0,no,overlay
2312,CH,Plateau,1.0,,0.0,1.0,no,overlay
2319,CH,Alps East,1.0,,0.0,1.0,no,overlay
2321,CH,Alps South,1.0,,0.0,1.0,no,overlay
2327,CH,Alps East,1.0,,0.0,1.0,no,overlay
2342,CH,Alps West,1.0,Alps South,0.0,1.0,no,overlay
2343,CH,Plateau,1.0,Alps North,0.0,1.0,no,overlay
2346,CH,Alps West,1.0,Alps South,0.0,1.0,no,overlay
2347,CH,Alps South,1.0,,0.0,1.0,no,overlay
2349,CH,Alps South,0.677,,0.0,0.677,yes,overlay
2351,CH,Alps West,1.0,Alps South,0.0,1.0,no,overlay
2352,CH,Alps North,1.0,Alps East,0.0,1.0,no,overlay
2355,CH,Alps East,1.0,,0.0,1.0,no,overlay
2356,CH,Alps South,1.0,,0.0,1.0,no,overlay
2364,CH,Alps South,1.0,Alps East,0.0,1.0,no,overlay
2366,CH,Alps South,1.0,Alps East,0.0,1.0,no,overlay
2368,CH,Alps South,0.811,,0.0,0.811,no,overlay
2369,CH,Plateau,1.0,,0.0,1.0,no,overlay
2370,CH,Jura,0.0,,0.0,0.0,no,nearest
2371,CH,Jura,0.464,,0.0,0.464,yes,overlay
2372,CH,Alps North,1.0,Alps East,0.0,1.0,no,overlay
2374,CH,Alps North,1.0,,0.0,1.0,no,overlay
2378,CH,Jura,0.744,Plateau,0.0,0.744,yes,overlay
2386,CH,Plateau,0.982,Alps North,0.018,1.0,no,overlay
2387,CH,Alps East,0.967,Alps South,0.0,0.967,no,overlay
2392,CH,Alps East,0.376,Plateau,0.074,0.479,yes,overlay
2403,CH,Alps East,1.0,Alps South,0.0,1.0,no,overlay
2409,CH,Alps North,1.0,,0.0,1.0,no,overlay
2410,CH,Alps North,0.0,,0.0,0.0,no,nearest
2412,CH,Alps North,1.0,Plateau,0.0,1.0,no,overlay
2414,CH,Alps North,1.0,Plateau,0.0,1.0,no,overlay
2415,CH,Plateau,1.0,Alps North,0.0,1.0,no,overlay
2416,CH,Plateau,1.0,,0.0,1.0,no,overlay
2417,CH,Plateau,1.0,,0.0,1.0,no,overlay
2418,CH,Alps East,1.0,Alps South,0.0,1.0,no,overlay
2419,CH,Alps West,1.0,Alps South,0.0,1.0,no,overlay
2420,CH,Alps South,0.935,Alps East,0.06,0.995,no,overlay
2426,CH,Alps North,1.0,Alps East,0.0,1.0,no,overlay
2430,CH,Alps East,1.0,Alps South,0.0,1.0,no,overlay
2432,CH,Plateau,0.567,Jura,0.433,1.0,yes,overlay
2433,CH,Jura,0.75,Plateau,0.25,1.0,yes,overlay
2434,CH,Jura,0.794,Plateau,0.206,1.0,yes,overlay
2436,CH,Alps North,1.0,,0.0,1.0,no,overlay
2437,CH,Plateau,1.0,,0.0,1.0,no,overlay
2446,CH,Plateau,0.562,Jura,0.386,0.958,yes,overlay
2447,CH,Plateau,0.964,Alps North,0.036,1.0,no,overlay
2450,CH,Plateau,0.86,Alps North,0.14,1.0,no,overlay
2457,CH,Alps North,1.0,Alps West,0.0,1.0,no,overlay
2458,CH,Jura,1.0,,0.0,1.0,no,overlay
2461,CH,Alps South,1.0,,0.0,1.0,no,overlay
2462,CH,Alps East,1.0,Alps South,0.0,1.0,no,overlay
2463,CH,Alps South,1.0,,0.0,1.0,no,overlay
2467,CH,Alps North,0.637,Plateau,0.363,1.0,yes,overlay
2468,CH,Alps North,1.0,Plateau,0.0,1.0,no,overlay
2469,CH,Alps North,1.0,Alps West,0.0,1.0,no,overlay
2471,CH,Plateau,1.0,Alps North,0.0,1.0,no,overlay
2473,CH,Alps East,0.71,Alps North,0.032,0.744,yes,overlay
2474,CH,Alps South,1.0,Alps East,0.0,1.0,no,overlay
2475,CH,Alps South,1.0,,0.0,1.0,no,overlay
2477,CH,Plateau,0.52,Alps North,0.48,1.0,yes,overlay
2478,CH,Jura,1.0,,0.0,1.0,no,overlay
2480,CH,Jura,0.93,,0.0,0.93,no,overlay
2481,CH,Alps North,1.0,,0.0,1.0,no,overlay
2484,CH,Alps North,1.0,,0.0,1.0,no,overlay
2485,CH,Jura,0.833,Plateau,0.125,0.958,no,overlay
2486,CH,Alps North,1.0,Plateau,0.0,1.0,no,overlay
2487,CH,Alps North,1.0,Plateau,0.0,1.0,no,overlay
2488,CH,Alps North,1.0,Alps West,0.0,1.0,no,overlay
2490,CH,Plateau,0.0,,0.0,0.0,no,nearest
2491,CH,Alps North,1.0,,0.0,1.0,no,overlay
2493,CH,Jura,0.886,Plateau,0.114,1.0,no,overlay
2494,CH,Alps South,1.0,Alps East,0.0,1.0,no,overlay
2497,CH,Plateau,0.687,Alps North,0.313,1.0,yes,overlay
2498,CH,Alps East,1.0,Alps South,0.0,1.0,no,overlay
2500,CH,Plateau,1.0,,0.0,1.0,no,overlay
2602,CH,Alps East,0.98,Alps South,0.004,0.984,no,overlay
2603,CH,Alps North,1.0,,0.0,1.0,no,overlay
2604,CH,Alps North,1.0,Plateau,0.0,1.0,no,overlay
2605,CH,Alps South,1.0,,0.0,1.0,no,overlay
2606,CH,Alps West,0.585,Plateau,0.117,0.847,yes,overlay
2607,CH,Alps West,1.0,Alps South,0.0,1.0,no,overlay
2608,CH,Plateau,1.0,,0.0,1.0,no,overlay
2609,CH,Alps North,1.0,,0.0,1.0,no,overlay
2610,CH,Jura,1.0,,0.0,1.0,no,overlay
2612,CH,Alps South,1.0,,0.0,1.0,no,overlay
2613,CH,Plateau,0.277,Alps North,0.27,0.766,yes,overlay
2615,CH,Plateau,0.28,Alps North,0.274,0.775,yes,overlay
2617,CH,Alps East,0.999,,0.0,0.999,no,overlay
2620,CH,Alps South,1.0,Alps East,0.0,1.0,no,overlay
2623,CH,Alps West,1.0,Alps East,0.0,1.0,no,overlay
2629,CH,Alps South,1.0,,0.0,1.0,no,overlay
2630,CH,Alps West,1.0,,0.0,1.0,no,overlay
2631,CH,Alps East,1.0,Alps South,0.0,1.0,no,overlay
2634,CH,Alps North,0.851,Plateau,0.149,1.0,no,overlay
2635,CH,Alps North,1.0,,0.0,1.0,no,overlay
2640,CH,Jura,1.0,,0.0,1.0,no,overlay
2642,CH,Plateau,0.559,Jura,0.389,0.957,yes,overlay
2644,CH,Alps East,1.0,Alps South,0.0,1.0,no,overlay
3001,A,Alps East,0.961,Alps South,0.003,0.966,no,overlay
3002,A,Alps North,0.0,,0.0,0.0,no,nearest
3003,A,Alps East,0.0,,0.0,0.0,no,nearest
3004,A,Alps North,0.0,,0.0,0.0,no,nearest
3005,A,Alps North,0.0,,0.0,0.0,no,nearest
3006,A,Alps East,0.71,Alps North,0.032,0.744,yes,overlay
3007,A,Plateau,0.0,,0.0,0.0,no,nearest
3008,A,Plateau,0.0,,0.0,0.0,no,nearest
3009,A,Alps East,0.0,,0.0,0.0,no,nearest
3010,A,Plateau,0.0,,0.0,0.0,no,nearest
3011,A,Plateau,0.0,,0.0,0.0,no,nearest
3012,A,Plateau,0.0,,0.0,0.0,no,nearest
3013,A,Plateau,0.0,,0.0,0.0,no,nearest
3014,A,Plateau,0.0,,0.0,0.0,no,nearest
3015,A,Plateau,0.0,,0.0,0.0,no,nearest
3016,A,Plateau,0.0,,0.0,0.0,no,nearest
3017,A,Plateau,0.0,,0.0,0.0,no,nearest
3018,A,Alps East,0.0,,0.0,0.0,no,nearest
3019,A,Alps East,0.0,,0.0,0.0,no,nearest
3020,A,Plateau,0.0,,0.0,0.0,no,nearest
3021,A,Plateau,0.0,,0.0,0.0,no,nearest
3022,A,Alps East,0.0,,0.0,0.0,no,nearest
3023,A,Plateau,0.0,,0.0,0.0,no,nearest
3024,A,Plateau,0.0,,0.0,0.0,no,nearest
3025,A,Alps East,0.0,,0.0,0.0,no,nearest
3026,A,Plateau,0.0,,0.0,0.0,no,nearest
3027,A,Plateau,0.0,,0.0,0.0,no,nearest
3028,A,Plateau,0.0,,0.0,0.0,no,nearest
3029,A,Plateau,0.0,,0.0,0.0,no,nearest
3030,A,Alps East,0.0,,0.0,0.0,no,nearest
3031,A,Alps East,0.0,,0.0,0.0,no,nearest
3032,A,Alps East,0.759,,0.0,0.759,yes,overlay
3033,A,Alps East,0.831,Alps South,0.0,0.831,no,overlay
4001,DE,Black Forest,0.0,,0.0,0.0,no,country
4002,DE,Black Forest,0.0,,0.0,0.0,no,country
4003,DE,Black Forest,0.0,,0.0,0.0,no,country
4004,DE,Black Forest,0.0,,0.0,0.0,no,country
4005,DE,Black Forest,0.0,,0.0,0.0,no,country
4006,DE,Black Forest,0.0,,0.0,0.0,no,country
4007,DE,Black Forest,0.0,,0.0,0.0,no,country
4008,DE,Black Forest,0.0,,0.0,0.0,no,country
4009,DE,Black Forest,0.0,,0.0,0.0,no,country
4010,DE,Black Forest,0.41,Plateau,0.058,0.49,no,country
4011,DE,Black Forest,0.0,,0.0,0.0,no,country
4012,DE,Black Forest,0.0,,0.0,0.0,no,country
4013,DE,Black Forest,0.0,,0.0,0.0,no,country
4014,DE,Black Forest,0.0,,0.0,0.0,no,country
