region,period_id,period,baseline_period,multimodel_mean_warming,internal_sd,total_sd,internal_snr,total_snr
MED,P1,2021-2040,1995-2014,1.289165332304303,0.1676753557625453,0.4221527416475925,7.688460396827567,3.0537888425713
MED,P2,2041-2060,1995-2014,2.409380449799053,0.1950405477800531,0.6022756677440824,12.35322848106491,4.00046121541613
MED,P3,2081-2100,1995-2014,4.942720350165049,0.1929150181534215,1.052899418050392,25.62123155302612,4.694389858546288
NEU,P1,2021-2040,1995-2014,0.9832925355231948,0.2865817532973196,0.6373985987359315,3.43110656631045,1.542665041111212
NEU,P2,2041-2060,1995-2014,1.958772678707014,0.320543965455878,0.9131140848067136,6.110776959788482,2.14515657057425
NEU,P3,2081-2100,1995-2014,4.022265616806024,0.3087739821139613,1.726752611621398,13.02656910814947,2.32938151634192
WCE,P1,2021-2040,1995-2014,1.379338385632493,0.2988215049867591,0.519299401838547,4.615927443687872,2.656152463779146
WCE,P2,2041-2060,1995-2014,2.60553414848296,0.3053357614868327,0.6883533021748223,8.533340922122289,3.785169825220404
WCE,P3,2081-2100,1995-2014,5.443779966256931,0.3351669707926991,1.16895280585016,16.24199411231339,4.656971555235509
