region,period_id,period,baseline_period,internal_variance,internal_sd
MED,P1,2021-2040,1995-2014,0.0281150249300961,0.1676753557625453
MED,P2,2041-2060,1995-2014,0.0380408152783431,0.1950405477800531
MED,P3,2081-2100,1995-2014,0.0372162042291349,0.1929150181534215
NEU,P1,2021-2040,1995-2014,0.0821291013229658,0.2865817532973196
NEU,P2,2041-2060,1995-2014,0.1027484337901791,0.320543965455878
NEU,P3,2081-2100,1995-2014,0.0953413720305129,0.3087739821139613
WCE,P1,2021-2040,1995-2014,0.0892942918425516,0.2988215049867591
WCE,P2,2041-2060,1995-2014,0.093229927242744,0.3053357614868327
WCE,P3,2081-2100,1995-2014,0.1123368983103539,0.3351669707926991
