region,period_id,period,baseline_period,internal_variance,model_variance,total_variance,internal_contribution,model_contribution,internal_contribution_percent,model_contribution_percent
MED,P1,2021-2040,1995-2014,0.0281150249300961,0.1500979123504828,0.178212937280579,0.1577608526020294,0.8422391473979707,15.77608526020294,84.22391473979707
MED,P2,2041-2060,1995-2014,0.0380408152783431,0.324695164678237,0.3627359799565802,0.1048719106466821,0.8951280893533178,10.48719106466822,89.51280893533178
MED,P3,2081-2100,1995-2014,0.0372162042291349,1.071380980301719,1.108597184530854,0.0335705382878853,0.9664294617121144,3.357053828788537,96.64294617121143
NEU,P1,2021-2040,1995-2014,0.0821291013229658,0.3241478723475632,0.406276973670529,0.2021505195851156,0.7978494804148843,20.21505195851157,79.78494804148843
NEU,P2,2041-2060,1995-2014,0.1027484337901791,0.7310288980822232,0.8337773318724023,0.1232324625082315,0.8767675374917684,12.32324625082315,87.67675374917684
NEU,P3,2081-2100,1995-2014,0.0953413720305129,2.886333209710807,2.981674581741319,0.0319757805276097,0.9680242194723904,3.197578052760972,96.80242194723904
WCE,P1,2021-2040,1995-2014,0.0892942918425516,0.1803775769073209,0.2696718687498727,0.3311220123051631,0.6688779876948368,33.11220123051631,66.88779876948368
WCE,P2,2041-2060,1995-2014,0.093229927242744,0.3806003413722382,0.4738302686149822,0.1967580659531469,0.803241934046853,19.6758065953147,80.32419340468529
WCE,P3,2081-2100,1995-2014,0.1123368983103539,1.254113763994608,1.366450662304962,0.0822107240380427,0.9177892759619573,8.221072403804273,91.77892759619571
