region,period_id,period,baseline_period,multimodel_mean_warming,model_variance,model_sd
MED,P1,2021-2040,1995-2014,1.289165332304303,0.1500979123504828,0.3874247183008369
MED,P2,2041-2060,1995-2014,2.409380449799053,0.324695164678237,0.569820291564136
MED,P3,2081-2100,1995-2014,4.942720350165049,1.071380980301719,1.035075350059946
NEU,P1,2021-2040,1995-2014,0.9832925355231948,0.3241478723475632,0.5693398566300828
NEU,P2,2041-2060,1995-2014,1.958772678707014,0.7310288980822232,0.8550022795772085
NEU,P3,2081-2100,1995-2014,4.022265616806024,2.886333209710807,1.698921189964621
WCE,P1,2021-2040,1995-2014,1.379338385632493,0.1803775769073209,0.4247088142566869
WCE,P2,2041-2060,1995-2014,2.60553414848296,0.3806003413722382,0.6169281492785349
WCE,P3,2081-2100,1995-2014,5.443779966256931,1.254113763994608,1.119872208778577
