region,period_id,period,baseline_period,full_internal_sd,balanced_internal_sd,full_total_sd,balanced_total_sd,full_internal_contribution,balanced_internal_contribution,full_total_snr,balanced_total_snr,full_internal_snr,balanced_internal_snr
MED,P1,2021-2040,1995-2014,0.1676753557625453,0.1668526268670695,0.4221527416475925,0.4234871507742246,0.1577608526020292,0.1556022192387712,3.0537888425713,3.050186050762409,7.688460396827567,7.751455322749069
MED,P2,2041-2060,1995-2014,0.1950405477800531,0.1932073567450352,0.6022756677440824,0.6010089685353358,0.1048719106466819,0.1035996406322095,4.00046121541613,4.013335638150025,12.35322848106491,12.50316322991493
MED,P3,2081-2100,1995-2014,0.1929150181534215,0.1920701385287437,1.052899418050392,1.053901826111314,0.0335705382878853,0.0333050273138101,4.694389858546288,4.691393252892524,25.62123155302612,25.79296714492867
NEU,P1,2021-2040,1995-2014,0.2865817532973196,0.284754350324081,0.6373985987359315,0.6353788065899476,0.2021505195851156,0.2013900395539536,1.542665041111212,1.555940807456571,3.43110656631045,3.474802210284888
NEU,P2,2041-2060,1995-2014,0.320543965455878,0.317096082577512,0.9131140848067136,0.9090633543259452,0.1232324625082314,0.1219395423121611,2.14515657057425,2.160614113207834,6.110776959788482,6.205027746371583
NEU,P3,2081-2100,1995-2014,0.3087739821139613,0.3071365353773293,1.726752611621398,1.723787275293746,0.0319757805276097,0.0318316323933202,2.32938151634192,2.334802643276171,13.02656910814947,13.13457233062177
WCE,P1,2021-2040,1995-2014,0.2988215049867591,0.2952800333996313,0.519299401838547,0.519303789441404,0.3311220123051628,0.3240055858255289,2.656152463779146,2.666695663701409,4.615927443687872,4.701940278118529
WCE,P2,2041-2060,1995-2014,0.3053357614868327,0.3023471121098367,0.6883533021748223,0.685391929381771,0.1967580659531469,0.1950118510054608,3.785169825220404,3.809108553081638,8.533340922122289,8.64951921966585
WCE,P3,2081-2100,1995-2014,0.3351669707926991,0.3356248916769275,1.16895280585016,1.170913171142287,0.0822107240380426,0.0824334689089564,4.656971555235509,4.651743213303809,16.24199411231339,16.26892375098048
