region,period_id,period,baseline_period,multimodel_mean_warming,internal_variance,model_variance,total_variance,internal_sd,model_sd,total_sd
MED,P1,2021-2040,1995-2014,1.289165332304303,0.0281150249300961,0.1500979123504828,0.178212937280579,0.1676753557625453,0.3874247183008369,0.4221527416475925
MED,P2,2041-2060,1995-2014,2.409380449799053,0.0380408152783431,0.324695164678237,0.3627359799565802,0.1950405477800531,0.569820291564136,0.6022756677440824
MED,P3,2081-2100,1995-2014,4.942720350165049,0.0372162042291349,1.071380980301719,1.108597184530854,0.1929150181534215,1.035075350059946,1.052899418050392
NEU,P1,2021-2040,1995-2014,0.9832925355231948,0.0821291013229658,0.3241478723475632,0.406276973670529,0.2865817532973196,0.5693398566300828,0.6373985987359315
NEU,P2,2041-2060,1995-2014,1.958772678707014,0.1027484337901791,0.7310288980822232,0.8337773318724023,0.320543965455878,0.8550022795772085,0.9131140848067136
NEU,P3,2081-2100,1995-2014,4.022265616806024,0.0953413720305129,2.886333209710807,2.981674581741319,0.3087739821139613,1.698921189964621,1.726752611621398
WCE,P1,2021-2040,1995-2014,1.379338385632493,0.0892942918425516,0.1803775769073209,0.2696718687498727,0.2988215049867591,0.4247088142566869,0.519299401838547
WCE,P2,2041-2060,1995-2014,2.60553414848296,0.093229927242744,0.3806003413722382,0.4738302686149822,0.3053357614868327,0.6169281492785349,0.6883533021748223
WCE,P3,2081-2100,1995-2014,5.443779966256931,0.1123368983103539,1.254113763994608,1.366450662304962,0.3351669707926991,1.119872208778577,1.16895280585016
