,change_score_raw,change_score_smooth
1793-01-01,0.29819378,0.21531008
1793-04-01,0.24103504,0.20416923
1793-07-01,0.25526914,0.18659651
1793-10-01,0.2639229,0.16338338
1794-01-01,0.22437543,0.1359889
1794-04-01,0.28626415,0.10668208
1794-07-01,0.22752723,0.07875171
1794-10-01,0.2675155,0.056356788
1795-01-01,0.1660184,0.044115834
1795-04-01,0.16109124,0.04633732
1795-07-01,0.16232988,0.066034816
1795-10-01,0.10168057,0.10397353
1796-01-01,0.1979536,0.15820363
1796-04-01,0.3314445,0.22420749
1796-07-01,0.2665045,0.29566705
1796-10-01,0.21212527,0.36572194
1797-01-01,0.47285527,0.42824045
1797-04-01,0.5100206,0.47876468
1797-07-01,0.27416322,0.51490444
1797-10-01,0.28513283,0.53610533
1798-01-01,0.31645367,0.5431751
1798-04-01,0.23752771,0.5377633
1798-07-01,0.44420892,0.52212614
1798-10-01,0.52767986,0.4990942
1799-01-01,0.3157388,0.47201034
1799-04-01,0.16210073,0.44452447
1799-07-01,0.23981391,0.41994572
1799-10-01,0.27555257,0.40064478
1800-01-01,0.2559985,0.38744366
1800-04-01,0.35930902,0.37957907
1800-07-01,0.24718258,0.3751575
1800-10-01,0.33339572,0.37214822
1801-01-01,0.3416125,0.36938846
1801-04-01,0.28406322,0.36729902
1801-07-01,0.3289672,0.3681025
1801-10-01,0.30862746,0.3749919
1802-01-01,0.28467986,0.39093107
1802-04-01,0.134052,0.4172697
1802-07-01,0.15222813,0.45269397
1802-10-01,0.26864603,0.493138
1803-01-01,0.4236225,0.5328006
1803-04-01,0.6156143,0.5658918
1803-07-01,0.4107488,0.588348
1803-10-01,0.37022078,0.59912777
1804-01-01,0.23032883,0.6002435
1804-04-01,0.37361163,0.5957223
1804-07-01,0.28726602,0.5898769
1804-10-01,0.25673237,0.58571875
1805-01-01,0.32842287,0.5839184
1805-04-01,0.26306796,0.5829336
1805-07-01,0.5333036,0.57977456
1805-10-01,0.37350884,0.5713579
1806-01-01,0.3196755,0.5558318
1806-04-01,0.38228518,0.5333427
1806-07-01,0.32519573,0.506235
1806-10-01,0.31153563,0.47841752
1807-01-01,0.2249563,0.45425576
1807-04-01,0.38737983,0.43729773
1807-07-01,0.19833273,0.42915332
1807-10-01,0.20911661,0.42896506
1808-01-01,0.19101812,0.4336068
1808-04-01,0.37832105,0.4387995
1808-07-01,0.5012481,0.44059074
1808-10-01,0.4996783,0.43682137
1809-01-01,0.22604267,0.4277428
1809-04-01,0.25124565,0.41573873
1809-07-01,0.2200672,0.40408155
1809-10-01,0.21712324,0.39525223
1810-01-01,0.30964303,0.3897496
1810-04-01,0.20456019,0.3855998
1810-07-01,0.3018526,0.37911212
1810-10-01,0.5045377,0.36639678
1811-01-01,0.4149634,0.34495375
1811-04-01,0.27988365,0.3148541
1811-07-01,0.2165515,0.2788982
1811-10-01,0.20361693,0.2419937
1812-01-01,0.2475678,0.20969737
1812-04-01,0.20218493,0.18685132
